epoch,train_top1,train_top5,train_loss,train_C_loss,train_D_loss,train_E_loss,train_target_loss,eval_loss,eval_top1,eval_top5,lr
0,0.013822115384615384,0.06490384615384616,0.8567271744593595,0.24849168879863542,0.24583269636600447,0.20032240545902497,0.5788684552296613,0.856516093931994,0.010248901903367497,0.07759882874055977,1e-05
1,0.013822115384615384,0.06450320512820513,0.8381415968522047,0.24678220513921517,0.24589523376944739,0.19292365559018576,0.5639011538945712,0.8221166965553038,0.01171303074670571,0.07320644221054513,6.799999999999999e-05
2,0.015424679487179488,0.06830929487179487,0.7498208907170173,0.23574820934579924,0.24230952494037458,0.15902424240723634,0.49498809453768605,0.5454559553070962,0.010248901903367497,0.07320644216691069,0.00012599999999999997
3,0.01422275641025641,0.06951121794871795,0.5355693971117338,0.1927048796071456,0.20915461589510626,0.08908921458686773,0.339189909494076,0.3954571990369878,0.014641288433382138,0.07027818448023426,0.00018399999999999995
4,0.014623397435897436,0.06330128205128205,0.30461788416290897,0.12265729192548837,0.13894308057542032,0.03091777179342432,0.18761062488341942,0.22501964014061723,0.014641288433382138,0.06881405563689605,0.00024199999999999995
5,0.014423076923076924,0.06229967948717949,0.1536427286859506,0.05469111274354733,0.0697806953954009,0.00541094475118324,0.10168962572247554,0.10795282864858605,0.01171303074670571,0.06588579795021962,0.00029815325108927063
6,0.016426282051282052,0.06470352564102565,0.10150274357352501,0.019555092783262715,0.03554896930328164,0.0008059182815859691,0.07913875092680638,0.09786660072569617,0.01903367496339678,0.07613469985358712,0.0002973430876093033
7,0.01282051282051282,0.06710737179487179,0.09221741858010109,0.011860011575313715,0.016952871762884732,0.0002009624810083411,0.08061187991347069,0.0961518370564127,0.020497803806734993,0.07906295754026355,0.0002963875142908121
8,0.01842948717948718,0.08052884615384616,0.09156037599612506,0.011376444548846055,0.016343553986352604,0.0002041192259732783,0.08039072858026394,0.09369795065847707,0.032210834553440704,0.10102489019033675,0.00029528747416929463
9,0.024839743589743588,0.10276442307692307,0.09032652102028713,0.011173018421500158,0.016139536761702634,0.00018796939958776467,0.07932631112635136,0.09181077150003453,0.04685212298682284,0.1581259150805271,0.0002940440528515414
10,0.03365384615384615,0.12379807692307693,0.08925709658517288,0.011175825147149272,0.01616936367458831,0.00018401734726070665,0.07824541399112114,0.09006594722520554,0.06588579795021962,0.2020497803806735,0.00029265847744427303
11,0.035256410256410256,0.1452323717948718,0.08853871571138883,0.011012647062157974,0.016053485773647062,0.00017952664543722326,0.07764045168191959,0.08854690647928118,0.07174231332357248,0.23718887262079064,0.0002911321153431338
12,0.04807692307692308,0.15705128205128205,0.08783249604778412,0.011034636334396707,0.016155645460224688,0.00018095496960039524,0.07688400149345398,0.08578376352001597,0.08199121522693997,0.2679355783308931,0.00028946647288323766
13,0.05689102564102564,0.18790064102564102,0.08647678142938858,0.01118824407697106,0.016451413599917523,0.00019420806786048418,0.07534323475108697,0.08405671957034841,0.09956076134699854,0.2767203513909224,0.00028766319385259713
14,0.06610576923076923,0.20713141025641027,0.08588978304312779,0.011163444180662433,0.01647126264511966,0.00020150238504776588,0.07475529954983638,0.0809362164506277,0.11420204978038068,0.332357247481409,0.00028572405786990294
15,0.07091346153846154,0.22355769230769232,0.08508566962793851,0.011213986012033926,0.016608324648143772,0.00021032350457225664,0.07387261589368184,0.07834574204936384,0.1273792093704246,0.3396778916544656,0.00028365097862825513
16,0.09935897435897435,0.25340544871794873,0.08390481144380875,0.01125496679630417,0.01677530048152384,0.00022707183579302346,0.07260187567235568,0.0760377367323,0.17130307467057102,0.3718887262079063,0.0002814460020065795
17,0.1031650641025641,0.26482371794871795,0.08315118335378476,0.011326382897842007,0.01699027258496827,0.0002347933271569976,0.07173060389378896,0.07446494645072287,0.1815519765739385,0.44363103953147875,0.0002791113040505915
18,0.11939102564102565,0.2956730769230769,0.081759191571902,0.011321978380855842,0.017324767415769972,0.0002583533846168743,0.07019715166340272,0.0724943976625691,0.20644216691068815,0.4494875549048316,0.00027664918882530225
19,0.13181089743589744,0.3173076923076923,0.08075740799689904,0.0113323340490938,0.017456025786650103,0.0002570350485397145,0.06913924993326266,0.06946253438383385,0.22108345534407028,0.45534407027818447,0.00027406208614118424
20,0.15244391025641027,0.34615384615384615,0.08049520305716075,0.011361371469086943,0.018083971208677843,0.00027242520184536726,0.0686080955589811,0.06737501280025018,0.26207906295754024,0.5402635431918009,0.0002713525491562421
